input_file	seq1	seq2	absolute_distance	n_sites	proportional_distance
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP441427	60	126540	0.000474158368895211
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400433	113	126540	0.000892998261419314
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP420068	65	126539	0.0005136756256964256
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	Banks_and_Solander	58	126492	0.00045852702147171364
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP420386	68	126540	0.0005373794847479058
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP401523	53	126540	0.000418839892524103
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400941	62	126540	0.0004899636478583847
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP441177	62	126540	0.0004899636478583847
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400157	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP441314	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP420602	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_DMC_407	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP440615	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400218	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP440551	52	126540	0.0004109372530425162
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400453	53	126540	0.000418839892524103
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400786	68	126540	0.0005373794847479058
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_MN_37607	57	126540	0.00045045045045045046
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400423	54	126540	0.0004267425320056899
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400551	53	126540	0.000418839892524103
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP420882	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400287	59	126540	0.0004662557294136242
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441416	I_batatas_CIP400033	66	126540	0.0005215742057847322
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP441416	60	126540	0.000474158368895211
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400433	90	126540	0.0007112375533428165
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP420068	41	126539	0.0003240107792854377
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	Banks_and_Solander	39	126492	0.00030831989374822125
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP420386	46	126540	0.0003635214161529951
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP401523	49	126540	0.00038722933459775565
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400941	40	126540	0.000316105579263474
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP441177	40	126540	0.000316105579263474
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400157	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP441314	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP420602	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_DMC_407	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP440615	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400218	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP440551	30	126540	0.0002370791844476055
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400453	33	126540	0.0002607871028923661
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400786	46	126540	0.0003635214161529951
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_MN_37607	35	126540	0.00027659238185553974
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400423	32	126540	0.0002528844634107792
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400551	31	126540	0.00024498182392919236
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP420882	43	126540	0.00033981349770823455
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400287	37	126540	0.00029239766081871346
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP441427	I_batatas_CIP400033	44	126540	0.0003477161371898214
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP441416	113	126540	0.000892998261419314
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP441427	90	126540	0.0007112375533428165
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP420068	73	126539	0.0005768972411667549
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	Banks_and_Solander	72	126492	0.0005692059576890238
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP420386	79	126540	0.0006243085190453611
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP401523	82	126540	0.0006480164374901217
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400941	73	126540	0.00057689268215584
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP441177	73	126540	0.00057689268215584
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400157	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP441314	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP420602	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_DMC_407	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP440615	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400218	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP440551	63	126540	0.0004978662873399715
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400453	66	126540	0.0005215742057847322
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400786	79	126540	0.0006243085190453611
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_MN_37607	68	126540	0.0005373794847479058
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400423	65	126540	0.0005136715663031453
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400551	64	126540	0.0005057689268215584
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP420882	76	126540	0.0006006006006006006
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400287	70	126540	0.0005531847637110795
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP400433	I_batatas_CIP400033	77	126540	0.0006085032400821875
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP441416	65	126539	0.0005136756256964256
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP441427	41	126539	0.0003240107792854377
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP400433	73	126539	0.0005768972411667549
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	Banks_and_Solander	21	126491	0.0001660197168177973
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP420386	31	126539	0.0002449837599475261
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP401523	34	126539	0.00026869186574889954
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP400941	25	126539	0.0001975675483447791
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP441177	25	126539	0.0001975675483447791
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP400157	15	126539	0.00011854052900686745
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP441314	15	126539	0.00011854052900686745
../data/fasta/chloroplast.aligned.gblocks.subset.nex	I_batatas_CIP420068	I_batatas_CIP420602	15	126539	0.00011854052900686745
